designation,num,id,ra,RA_ICRS,dec,DE_ICRS,GMAG0,BP-RP0,ecl_lon,ecl_lat,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error,_r,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,BP/RPCorr,AG50,ABP50,ARP50,Separation,AB50-AR50,GMAG0-desc,BP-RP0-desc,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error_x,dec_x,dec_error_x,parallax_x,parallax_error_x,parallax_over_error,pm,pmra_x,pmra_error_x,pmdec_x,pmdec_error_x,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
Gaia DR3 2129738565420917248,1,22,291.5731126,291.5731126,49.09770032,49.09770032,2.007756,0.437237,313.0184908,69.33598747,1.231625853,-4.81181865,-10.03809845,0.02011798,0.02037974,0.02182525,0.029727826,0.02765568,-30.42402,7.0966015,2016,7032.242,,,4.9E-5,1.461683,1.546854,1.740552,6797.44,6914.14,7231.54,3.847864,3.925,3.952,-0.535608,0.065615,0.277752,0.739772,0.755597,0.788786,0.808085,0.815638,-0.052703,0.084806,0.170757,0.291895,0.308507,1.0,-8.07937,0.752822,0.202215,8.114368,-0.002583146,0.151504,0.182527,0.105031,7.17E-5,0.077496,2.364781,0.406111,291.57314529194,49.09774493346,4.898E-4,4.345E-4,117.31,2129738565420917248,291.57311263036,0.0201,49.09770031973,0.0204,1.2316,0.0218,56.4312,11.132,-4.812,0.03,-10.038,0.028,371,18.1468,3362.89,0.253,108.9,31,,,26,1.74,false,414309.0,91.4445,11.644055,252464.0,199.046,11.833042,235415.0,11.318309,1.178,0.514733,-33.1,2.0,9,6750.0,4.0,,,,696284644,0.002766,0.002919,0.003802,11.644055,0.002766,414309.0,-0.003,0.4787,0.4467,-0.0976,0.178139
Gaia DR3 2127848504932891776,1,23,290.3701499,290.3701499,47.18139111,47.18139111,2.819553,0.568687,308.936351,67.88574191,1.36250064,-1.591976238,-7.338589865,0.009093092,0.009474128,0.010038172,0.013478635,0.013513733,-11.445915,38.492214,2016,6206.935,11.273881,83.678406,3.3E-5,1.084743,1.356474,1.453302,6454.9,6630.13,7104.17,3.981231,4.092213,4.143872,-0.553476,-0.330458,0.071748,0.706915,0.71178,0.717407,0.726041,0.73684,0.024448,0.034679,0.185161,0.434241,0.534831,1.0,-8.06466,0.680282,0.183226,8.093302,-0.006086946,0.163058,0.197134,0.113682,5.18E-5,0.083452,2.361751,0.39252,290.37016028977,47.18142373023,2.396E-4,1.915E-4,135.63,2127848504932891776,290.37014987979,0.0091,47.18139111428,0.0095,1.3625,0.01,135.732,7.509,-1.592,0.013,-7.339,0.014,358,0.4036,626.32,0.072,7.645,31,,,26,1.014,false,234623.0,43.9136,12.261438,134818.0,92.0985,12.514175,142674.0,11.862037,1.183,0.652139,,,0,,,164612903701288471,,,686284787,0.002763,0.002887,0.003801,12.261438,0.002763,234623.0,-0.006,0.2164,0.2174,-0.2201,0.120153
Gaia DR3 6713091577946724864,1,24,289.3887756,289.3887756,-42.7021759,-42.7021759,2.58697,0.199502,285.0745607,-20.27225117,2.430430026,-47.82953865,-20.86335939,0.016372195,0.016073432,0.018507386,0.019095417,0.018283695,51.077595,5.6906333,2016,7822.084,,,2.32E-4,1.262725,1.331,1.40041,7293.12,7471.34,7684.22,4.126597,4.148627,4.19,-0.643246,-0.531705,-0.42902,0.39821,0.401475,0.405953,0.406598,0.413369,0.075779,0.164518,0.273191,0.386866,0.587578,1.0,-7.826434,-0.031538,-0.15573,7.826497,0.054558396,0.244837,0.29365,0.168401,4.01E-5,0.125249,2.360844,0.3896,289.38906487766,-42.70208317227,3.445E-4,2.5E-4,47.65,6713091577946724864,289.38877561507,0.0164,-42.70217589887,0.0161,2.4304,0.0185,131.3222,52.182,-47.83,0.019,-20.863,0.018,210,-0.3147,636.59,0.116,16.38,31,,,17,0.983,false,841921.0,349.982,10.874188,577699.0,4558.11,10.934289,452213.0,10.609538,1.223,0.324751,52.14,5.96,3,6500.0,3.5,,,210718376,,0.002792,0.00901,0.009263,10.874188,0.002792,841921.0,0.055,0.3053,0.2967,0.309,0.834949
Gaia DR3 6763969142066777344,1,25,286.7907373,286.7907373,-26.331827,-26.331827,0.85875,0.294735,285.0382229,-3.764872436,2.541137118,-2.063395233,-4.425023672,0.016679777,0.014404496,0.018594755,0.019413132,0.015467653,,,2016,7323.540039,,,2.2E-5,1.927059,2.123822,2.173016,7268.61,7846.93,8109.61,3.725,3.764574,3.796,-0.316078,-0.014437,0.28842,0.379981,0.383551,0.386332,0.389402,0.395183,0.030092,0.124274,0.362701,0.451952,0.473371,1.0,-7.833046,0.06887,-0.099266,7.833349,-0.005873799,0.326944,0.391139,0.223846,2.07E-7,0.167293,2.298963,0.38068,286.79074749153,-26.33180733698,3.175E-4,2.431E-4,72.49,6763969142066777344,286.79073725918,0.0167,-26.33182700375,0.0144,2.5411,0.0186,136.6588,4.882,-2.063,0.019,-4.425,0.015,194,-0.9671,408.75,0.097,7.772,31,,,14,0.949,false,4233980.0,1175.09,9.120495,2625610.0,1891.61,9.290468,2332290.0,8.828441,1.171,0.462028,,,0,,,,,231155171,,0.002772,0.002898,0.003838,9.120495,0.002772,4233980.0,-0.006,0.3115,0.2507,0.1533,0.078052
Gaia DR3 2106134455951549824,1,26,286.6148257,286.6148257,44.84258033,44.84258033,1.75418,0.348534,300.5955168,66.52583545,2.060928803,4.145943955,-8.820672201,0.008903139,0.010339613,0.010196747,0.01146049,0.012660253,10.546614,1.0225128,2016,7460.5283,18.998981,7.231109,4.3E-5,1.848714,1.902673,2.03108,7639.85,7835.25,8217.48,4.071071,4.093473,4.124895,0.083535,0.294082,0.398977,0.474311,0.475247,0.478139,0.483786,0.484461,-0.020554,-0.010174,0.049833,0.230132,0.286391,1.0,-8.0847,0.444266,0.13398,8.096897,-0.012921929,0.045373,0.054009,0.030853,1.22E-4,0.023156,2.291585,0.375458,286.61479966489,44.84261953044,2.061E-4,1.845E-4,171.14,2106134455951549824,286.61482565249,0.0089,44.84258032746,0.0103,2.0609,0.0102,202.1163,9.746,4.146,0.011,-8.821,0.013,411,-4.1803,908.43,0.083,10.19,31,,,29,0.856,false,1570430.0,411.503,10.197324,1001040.0,637.34,10.337411,818220.0,9.96572,1.158,0.371691,,,0,,,,,,675277675,0.00277,0.002875,0.003801,10.197324,0.00277,1570430.0,-0.013,0.1851,0.2056,-0.0337,0.155986
Gaia DR3 6365446995043977472,1,27,286.5642912,286.5642912,-77.04561705,-77.04561705,1.886769,0.228953,276.2369305,-53.96521685,3.092455468,-8.119002333,-5.130837884,0.020380117,0.024093278,0.02868775,0.024622427,0.03055384,,,2016,,,,4.3E-5,1.5325,1.622443,1.860083,7373.48,7941.17,8155.98,4.020303,4.086258,4.145698,-0.334599,-0.0291,0.289305,0.311918,0.314191,0.316973,0.322617,0.326417,0.007865,0.130892,0.434583,0.532556,0.630379,1.0,-7.992164,-0.190441,-0.144942,7.994432,-0.002896428,0.391657,0.468653,0.268152,3.15E-5,0.200501,2.276101,0.37273,286.56445212624,-77.04559424555,4.937E-4,3.96E-4,0.1,6365446995043977472,286.56429116112,0.0204,-77.04561704932,0.0241,3.0925,0.0287,107.7971,9.604,-8.119,0.025,-5.131,0.031,396,23.7866,3927.56,0.28,115.0,31,,,29,1.961,false,2298970.0,447.248,9.783534,1446920.0,487.938,9.937428,1247290.0,9.507974,1.172,0.429454,,,0,,,,,484717735,,0.002763,0.002814,0.0038,9.783534,0.002763,2298970.0,-0.003,0.396,0.4937,8.0E-4,0.153645
Gaia DR3 2130705448456872576,1,28,286.3607795,286.3607795,47.26340627,47.26340627,1.090128,0.313916,302.0557477,68.88919607,1.377623924,-3.378400656,-3.273737453,0.017046718,0.018660165,0.019408481,0.025147012,0.025723126,,,2016,7453.516,,,2.1E-5,1.766401,1.795782,2.004,7099.05,7389.82,7444.84,3.65,3.690116,3.764348,-0.425001,-0.320261,0.082013,0.692664,0.693418,0.709862,0.721801,0.737094,-0.05883,0.029365,0.196989,0.226345,0.420592,1.0,-8.055983,0.662123,0.211557,8.083147,-0.003705978,0.176643,0.211783,0.121468,3.8E-5,0.090315,2.270417,0.367021,286.36080164118,47.26342081914,4.133E-4,4.019E-4,172.98,2130705448456872576,286.36077951551,0.017,47.2634062692,0.0187,1.3776,0.0194,70.9805,4.704,-3.378,0.025,-3.274,0.026,337,12.7211,2145.7,0.203,54.11,31,,,26,1.531,false,1163830.0,242.342,10.52264,738881.0,403.779,10.667106,622312.0,10.262875,1.17,0.404231,,,0,,,,,,687278622,0.002765,0.002853,0.003787,10.52264,0.002765,1163830.0,-0.004,0.4021,0.4132,-0.0068,0.075295
Gaia DR3 2105513060085129600,1,29,286.3334873,286.3334873,42.54392533,42.54392533,2.465316,0.501131,298.6192375,64.36896639,0.7164441,-1.566347211,-3.58747422,0.008407408,0.009605001,0.009896683,0.011070083,0.012210763,,,2016,7029.7256,,,1.7E-5,1.417641,1.495642,1.619927,6618.92,6801.7,7170.91,3.983155,4.015246,4.057561,-0.448241,0.067763,0.092586,1.282774,1.30151,1.320448,1.354381,1.371555,0.003597,0.021447,0.103219,0.315326,0.442661,1.0,-7.831564,1.217399,0.354649,7.92562,-0.006556034,0.091528,0.110289,0.063491,1.32E-4,0.046798,2.263384,0.3588,286.33349679868,42.54394127528,1.981E-4,1.766E-4,172.71,2105513060085129600,286.3334873498,0.0084,42.54392533095,0.0096,0.7164,0.0099,72.3924,3.915,-1.566,0.011,-3.587,0.012,361,0.1945,386.14,0.02,0.4026,31,,,26,1.006,false,102510.0,26.2593,13.160449,61438.1,44.4815,13.367449,59067.7,12.81952,1.176,0.547929,,,0,,,159052863334913382,,,663286667,0.002769,0.002899,0.00383,13.160449,0.002769,102510.0,-0.007,0.177,0.1977,-0.0289,0.062688
Gaia DR3 6731745273754361216,1,30,285.3638974,285.3651464,-34.50256776,-34.50688968,2.458177,0.894731,282.8862506,-11.74803711,8.170836425,3.983715776,19.35342126,0.114656806,0.10252094,0.11786184,0.13770573,0.109727725,,,2016,,,,0.004504,0.836446,0.864336,0.909207,5318.58,5363.88,5514.07,3.289953,3.329808,3.729089,-1.338084,-1.009018,-0.623228,3.907017,4.664612,6.887536,7.251809,11.382185,0.111478,0.117387,0.162684,0.298373,0.422619,0.999023,-1.614487,0.262985,-2.000004,1.635766,0.00398159,0.13871,0.170257,0.099131,15.99403445,0.071126,2.26291,0.356288,285.36387591369,-34.50265377115,0.0024484,0.0014809,121.81,6731745273754361216,285.36389739823,0.1147,-34.50256775595,0.1025,8.1708,0.1179,69.3256,19.759,3.984,0.138,19.353,0.11,121,17.2748,2887.54,0.651,178.3,95,1.6081,0.0223,11,2.33,false,7352910.0,22496.1,8.521218,7889060.0,31298.5,8.095979,7626110.0,7.542138,2.11,0.553841,,,0,,,,,227636385,,0.004316,0.005132,0.007496,8.521218,0.004316,7352910.0,0.928,2.2223,1.8026,-0.4251,0.316134
Gaia DR3 2116863318617538944,1,31,281.05116,281.05116,43.29775324,43.29775324,1.886874,0.143338,290.0350254,65.97015094,1.226434951,-1.917781099,0.326931995,0.016309643,0.016969388,0.017935144,0.02293715,0.020860039,-47.386585,0.83135366,2016,8455.94,,,9.0E-6,1.568313,1.596021,1.86559,7781.05,8212.81,8931.81,4.10399,4.137123,4.230007,-0.432676,-0.216283,-0.015661,0.753904,0.765508,0.791038,0.795621,0.810334,-0.025787,-0.019199,0.1714,0.378856,0.4371,1.0,-7.975001,0.711103,0.263533,8.006642,2.95E-4,0.156776,0.186262,0.106207,1.16E-4,0.080055,2.262717,0.355439,281.05117166696,43.29775178638,3.722E-4,3.305E-4,69.0,2116863318617538944,281.05115995567,0.0163,43.29775323942,0.017,1.2264,0.0179,68.3817,1.945,-1.918,0.023,0.327,0.021,407,8.0809,2892.2,0.212,73.4,31,,,27,1.297,false,458239.0,198.031,11.534637,311323.0,297.273,11.605514,221978.0,11.38212,1.164,0.223393,,,0,,,,,,667277274,0.002795,0.002977,0.003944,11.534637,0.002795,458239.0,0.0,0.3671,0.3361,0.0796,0.031013
Gaia DR3 4037543655114296576,1,32,273.1076292,273.1076292,-37.75263218,-37.75263218,2.158386,0.3588,272.5357046,-14.34070121,7.167229339,-2.767033631,-12.78521563,0.023901062,0.023036683,0.033736415,0.025309183,0.021881741,,,2016,,,,5.8E-5,1.642982,1.722688,1.860181,7450.09,7660.2,7969.92,4.13239,4.171484,4.211318,-0.028395,0.197267,0.389337,0.137032,0.137314,0.139748,0.14037,0.140774,-0.037835,-0.027465,0.042007,0.186167,0.275903,1.0,-8.062564,-0.011875,-0.022358,8.062572,-0.005472183,0.038103,0.045433,0.025984,2.4E-7,0.019449,2.211955,0.355245,273.10764475791,-37.75257535237,4.573E-4,3.105E-4,53.92,4037543655114296576,273.10762920395,0.0239,-37.75263217555,0.023,7.1672,0.0337,212.4479,13.081,-2.767,0.025,-12.785,0.022,367,-3.1598,803.27,0.127,9.144,31,,,16,0.884,true,1.27543E7,3276.68,7.923223,8162770.0,4254.7,8.058949,6712410.0,7.680699,1.166,0.378249,,,0,,,,,207745559,,0.002769,0.002847,0.003991,7.923223,0.002769,1.27543E7,-0.005,0.4123,0.3681,0.3534,0.209317
Gaia DR3 4604875029228187264,1,33,269.6842221,269.6842221,34.97606873,34.97606873,1.933132,0.154605,269.5060101,58.41480811,0.775888547,3.587520502,-1.562632002,0.009162278,0.011514677,0.012055951,0.012402067,0.014211703,,,2016,9834.819,,,1.7E-5,1.415614,1.472046,1.609955,7273.7,7812.68,8279.56,3.979122,4.034075,4.077,-0.715247,-0.582976,-0.229501,1.16836,1.191201,1.222077,1.25496,1.261824,0.099048,0.10499,0.362992,0.519873,0.609073,1.0,-7.66403,0.965989,0.522564,7.724667,-0.003666163,0.326946,0.391283,0.223982,5.66E-5,0.167301,2.19825,0.348534,269.68420265999,34.97607567722,2.351E-4,1.934E-4,19.96,4604875029228187264,269.68422211898,0.0092,34.97606873219,0.0115,0.7759,0.0121,64.3573,3.913,3.588,0.012,-1.563,0.014,434,0.1176,895.78,0.098,12.88,31,,,27,1.003,false,157296.0,124.575,12.69557,102899.0,227.749,12.807509,80337.2,12.485603,1.165,0.321906,,,0,,,,,,625229359,0.002886,0.003682,0.005677,12.69557,0.002886,157296.0,-0.004,0.1987,0.2306,0.1252,0.062561
Gaia DR3 4603959788878135040,1,34,269.360357,269.360357,32.42320596,32.42320596,1.347181,0.019164,269.03792,55.86035069,1.104446749,2.536720005,-5.120725083,0.016087811,0.018297922,0.02043073,0.022510603,0.023575168,2.1012282,3.4406037,2016,,15.987369,28.585253,2.5E-5,1.579357,1.681276,1.689678,7536.19,8158.21,8234.63,3.890846,3.916405,3.92,-0.522181,-0.519234,-0.433789,0.855718,0.861626,0.887518,0.892032,0.901634,0.219392,0.241409,0.532398,0.54414,0.549583,1.0,-7.775472,0.684556,0.372623,7.805548,-0.00499332,0.480613,0.574742,0.328572,8.42E-5,0.24617,2.185573,0.344969,269.36034367124,32.42322871895,3.874E-4,3.518E-4,23.13,4603959788878135040,269.36035702768,0.0161,32.42320596016,0.0183,1.1044,0.0204,54.0581,5.715,2.537,0.023,-5.121,0.024,406,3.8601,2860.78,0.212,66.54,95,1.6714,0.0049,26,1.139,false,444094.0,259.644,11.56868,296028.0,426.499,11.660209,219386.0,11.394875,1.161,0.265334,14.29,10.15,2,6500.0,3.5,,,,613237492,0.002827,0.003199,0.004266,11.56868,0.002827,444094.0,-0.005,0.3575,0.3821,0.0696,0.091397
Gaia DR3 5809725265425979776,1,35,268.0105716,268.0105716,-71.69022101,-71.69022101,2.155254,0.299011,269.0614307,-48.25742167,3.714195477,-0.59196191,-17.51267176,0.008632532,0.010868591,0.014021129,0.011106239,0.013714748,21.07386398,0.338059336,2016,7625.258789,17.56309891,5.238173008,7.8E-5,1.681885,1.752969,1.809652,7825.83,8040.9,8182.54,4.207343,4.240838,4.260154,-0.017479,0.094182,0.213727,0.26455,0.265353,0.267335,0.26833,0.269375,-0.036193,-0.023344,0.048861,0.129861,0.209459,1.0,-8.003732,-0.153688,-0.096574,8.005207,-0.007651329,0.0447,0.053093,0.030286,6.05E-8,0.022807,2.158386,0.336373,268.01057997623,-71.69014318072,2.202E-4,1.778E-4,7.01,5809725265425979776,268.01057160159,0.0086,-71.69022101482,0.0109,3.7142,0.014,264.8999,17.523,-0.592,0.011,-17.513,0.014,501,-1.1288,1280.29,0.108,18.7,31,,,30,0.964,false,3474200.0,881.204,9.335229,2265030.0,2589.82,9.450855,1768250.0,9.129037,1.161,0.321818,,,0,,,,,405007457,,0.002769,0.003054,0.004055,9.335229,0.002769,3474200.0,-0.008,0.1785,0.2197,0.0521,0.280346
Gaia DR3 5945283676068152704,1,36,267.1231015,267.1231015,-51.91737304,-51.91737304,2.107569,0.406111,267.9813256,-28.49824965,2.477782519,-5.111274271,-0.247010307,0.01407963,0.012473693,0.018427914,0.016948676,0.013723423,,,2016,7664.748047,,,2.3E-5,1.546924,1.636886,1.851522,7176.67,7271.96,7746.01,4.013805,4.061848,4.120928,-0.134495,0.073299,0.370237,0.389392,0.392095,0.399078,0.402099,0.405078,-0.016663,0.106252,0.178329,0.414456,0.516883,1.0,-7.832612,-0.131392,-0.08382,7.833715,-0.005637169,0.15956,0.191489,0.109908,1.58E-7,0.081581,2.155254,0.335075,267.12313834277,-51.91737193874,2.776E-4,2.239E-4,102.94,5945283676068152704,267.12310151255,0.0141,-51.91737303657,0.0125,2.4778,0.0184,134.4581,5.117,-5.111,0.017,-0.247,0.014,377,-1.5475,952.75,0.109,15.68,31,,,20,0.943,false,1465480.0,863.035,10.272417,900121.0,1227.91,10.452789,818690.0,9.965097,1.173,0.487692,,,0,,,,,364839645,,0.002829,0.003159,0.004134,10.272417,0.002829,1465480.0,-0.006,0.2751,0.2269,-0.094,0.081904
Gaia DR3 5916002581902520064,1,37,257.6186412,257.6186412,-58.00499263,-58.00499263,2.771185,0.480394,262.0370161,-34.90747551,6.731937641,-21.08869162,-34.79746697,0.014729735,0.011763943,0.019054824,0.015406823,0.013607152,-5.6022186,0.43766195,2016,6787.761,55.971577,3.6572511,1.81E-4,1.315337,1.445721,1.587052,7032.2,7067.9,7444.02,4.157661,4.195753,4.260975,-0.332126,-0.018675,0.197551,0.147057,0.147631,0.148343,0.148724,0.148841,0.052082,0.06222,0.094184,0.303722,0.362405,1.0,-8.07115,-0.068154,-0.027538,8.071438,-0.004362702,0.084088,0.101004,0.05803,2.65E-5,0.042974,2.154593,0.325845,257.61881810734,-58.00483797103,2.522E-4,2.216E-4,79.12,5916002581902520064,257.61864121218,0.0147,-58.00499262651,0.0118,6.7319,0.0191,353.2931,40.689,-21.089,0.015,-34.797,0.014,561,2.311,1576.66,0.127,20.95,31,,,23,1.069,false,6170280.0,1227.08,8.711604,3741410.0,2222.25,8.905954,3516600.0,8.382587,1.176,0.523368,-3.1,1.19,10,6500.0,3.5,,,369376957,,0.002764,0.002864,0.003808,8.711604,0.002764,6170280.0,-0.004,0.2511,0.2228,0.0479,0.651047
Gaia DR3 5929795130680852608,1,38,253.2441663,253.2441663,-54.16279076,-54.16279076,1.892362,0.505329,258.5963372,-31.38484258,4.45736226,-6.357472811,-19.8299653,0.012681678,0.009172644,0.01587857,0.016770856,0.013110064,1.6148572,0.50207365,2016,,18.518478,8.2033,9.3E-5,1.470071,1.594433,1.845388,6660.4,6884.95,7360.76,3.806,3.842,3.897093,-0.438414,-0.429621,0.384174,0.220618,0.221608,0.222042,0.223935,0.224803,0.044562,0.185013,0.278184,0.546996,0.606656,1.0,-8.002123,-0.097606,-0.024904,8.002719,-0.001083732,0.245787,0.296735,0.170888,8.22E-5,0.125847,2.127192,0.324641,253.24421452086,-54.16270262697,2.893E-4,1.851E-4,62.87,5929795130680852608,253.24416626101,0.0127,-54.16279076018,0.0092,4.4574,0.0159,280.7156,20.824,-6.357,0.017,-19.83,0.013,403,-5.5351,593.27,0.065,4.319,31,,,20,0.81,false,5331120.0,867.196,8.87032,3103140.0,928.139,9.109037,3221170.0,8.477861,1.186,0.631176,3.67,0.39,3,6750.0,2.0,,,365644691,,0.002761,0.002809,0.003789,8.87032,0.002761,5331120.0,-0.001,0.271,0.2111,0.3507,0.333161
Gaia DR3 5937968144203126016,1,39,251.0477054,251.0477054,-48.65510786,-48.65510786,2.403373,0.471911,256.1752702,-26.1213649,3.649485482,-0.361806812,-17.09597511,0.016321622,0.010775466,0.018871352,0.021018155,0.014440571,,,2016,7077.136,,,7.6E-5,1.323401,1.590647,1.612847,6829.77,6970.67,7203.1,3.999899,4.08001,4.09276,-0.437429,0.168771,0.274311,0.268372,0.269548,0.271685,0.272945,0.276076,0.111772,0.129417,0.23987,0.293393,0.441493,1.0,-7.949855,-0.105654,-0.008808,7.950557,-0.002871752,0.212642,0.256311,0.147485,5.65E-5,0.108826,2.115408,0.321784,251.04770785736,-48.65503188161,3.403E-4,2.267E-4,79.35,5937968144203126016,251.04770542313,0.0163,-48.65510786372,0.0108,3.6495,0.0189,193.3876,17.1,-0.362,0.021,-17.096,0.014,347,-0.3571,766.18,0.098,10.37,31,,,18,0.985,false,2293030.0,478.776,9.786344,1360500.0,390.267,10.004296,1348140.0,9.423559,1.181,0.580737,,,0,,,,,345200896,,0.002765,0.002807,0.00379,9.786344,0.002765,2293030.0,-0.003,0.3371,0.2315,0.15,0.273585
Gaia DR3 4339177971358491264,1,40,250.0124267,250.0124267,-7.624859392,-7.624859392,2.270417,0.355245,249.5254851,14.40503036,1.379605386,-9.115204069,-5.537401507,0.011186037,0.006186667,0.013834501,0.016930167,0.011488989,-14.609753,4.2369533,2016,,5.4523463,11.9947195,4.7E-5,1.391539,1.619043,1.835378,6920.69,7384.66,8582.67,4.061858,4.117876,4.231386,-0.43414,-0.030635,0.088881,0.692658,0.702169,0.705629,0.718362,0.727008,0.47611,0.502557,0.808772,1.290569,1.521028,1.0,-7.567502,0.104309,0.294923,7.568221,-0.004684806,0.710893,0.860947,0.495547,1.69E-4,0.3654,2.110322,0.320996,250.01246762079,-7.62483478118,2.733E-4,1.809E-4,81.34,4339177971358491264,250.01242674737,0.0112,-7.62485939186,0.0062,1.3796,0.0138,99.7221,10.665,-9.115,0.017,-5.537,0.011,470,0.3641,818.3,0.064,6.739,31,,,21,1.011,false,242812.0,63.9106,12.224193,135716.0,107.764,12.506967,152978.0,11.786322,1.189,0.720645,,,0,,,98852500124460598,1237668649320513593,193443730,412151208,0.00277,0.00292,0.00394,12.224193,0.00277,242812.0,-0.005,0.2715,0.1835,0.1253,0.17079
Gaia DR3 4325705109925554432,1,41,247.4144533,247.4144533,-14.58506265,-14.58506265,1.465229,0.205681,248.0006921,7.145956352,4.420400247,-6.058660329,-1.367710612,0.015432424,0.008329264,0.018469911,0.020198893,0.013732221,,,2016,6972.600098,,,2.8E-5,1.714042,2.003938,2.597509,7568.29,8474.31,11373.79,3.991491,4.092391,4.303458,-0.21018,-0.012017,0.12092,0.221327,0.222726,0.224105,0.225648,0.227155,0.479223,0.616366,0.920274,1.442145,1.528017,1.0,-7.993219,0.005765,0.086206,7.993221,-0.002421141,0.825958,0.990925,0.566673,1.42E-7,0.424252,2.109881,0.318728,247.41448111635,-14.58505656738,3.252E-4,2.154E-4,95.34,4325705109925554432,247.41445329234,0.0154,-14.5850626461,0.0083,4.4204,0.0185,239.3298,6.211,-6.059,0.02,-1.368,0.014,429,-0.8333,866.55,0.083,10.26,31,,,17,0.971,false,4545380.0,663.575,9.043443,2644140.0,1058.6,9.28283,2741570.0,8.652897,1.185,0.629933,,,0,,,,,174397051,378010249,0.00276,0.002824,0.003799,9.043443,0.00276,4545380.0,-0.002,0.3244,0.2166,-0.0782,0.099355
Gaia DR3 6052146929146448000,1,42,246.350426,246.350426,-21.68863328,-21.68863328,3.278831,0.67326,248.1151091,-0.028192069,7.330633352,-5.533566041,-22.97094713,0.016423417,0.009908259,0.018936371,0.023277003,0.017056353,,,2016,,,,1.05E-4,0.863077,0.875,1.037724,5908.8,5967.6,6145.7,3.865,3.870432,3.944,-0.992711,-0.863583,-0.472666,0.134513,0.134749,0.135376,0.13567,0.136967,-0.061803,0.077864,0.11929,0.213557,0.438969,1.0,-8.072381,-0.011048,0.043794,8.072389,0.010532618,0.103504,0.125994,0.072997,1.85E-7,0.052997,2.107569,0.313916,246.35045246521,-21.68853118796,3.781E-4,2.61E-4,103.45,6052146929146448000,246.35042599787,0.0164,-21.68863328106,0.0099,7.3306,0.0189,387.1192,23.628,-5.534,0.023,-22.971,0.017,342,-0.5023,685.13,0.08,8.51,31,,,18,0.98,true,4559660.0,1650.37,9.040036,2574980.0,2606.36,9.311607,2917550.0,8.58535,1.205,0.726257,,,0,,,,,171193588,,0.002783,0.002999,0.003869,9.040036,0.002783,4559660.0,0.011,0.3727,0.2687,-0.169,0.378043
Gaia DR3 6039918435708377472,1,43,240.4342035,240.4342035,-30.9158086,-30.9158086,1.624705,0.335075,244.537579,-10.05281145,3.145772366,-9.89893311,-5.511183206,0.094462544,0.06209838,0.11749113,0.13590805,0.08992695,,,2016,6794.151,,,5.0E-5,1.832674,1.928123,2.809811,7565.23,7976.05,12099.76,4.052351,4.09422,4.349358,-0.333194,0.004802,0.300644,0.276871,0.285237,0.297124,0.335755,0.358734,0.247975,0.257991,0.459732,1.189471,1.289789,1.0,-7.925581,-0.077553,0.083442,7.925961,-0.009382486,0.414307,0.495782,0.283651,1.09E-4,0.212131,2.095588,0.311457,240.43425474597,-30.9157841077,0.0021809,0.0014006,94.65,6039918435708377472,240.43420346487,0.0945,-30.91580860186,0.0621,3.1458,0.1175,26.7746,11.33,-9.899,0.136,-5.511,0.09,408,105.7644,37949.39,0.875,1076.0,31,,,20,6.5,false,3261880.0,927.895,9.403698,1950820.0,945.091,9.612998,1874310.0,9.065792,1.173,0.547206,,,0,,,,,119767081,,0.002773,0.002839,0.003896,9.403698,0.002773,3261880.0,-0.009,2.1767,1.4071,-0.0737,0.181177
